#   pt       r            w            wL          Qw            A            b           IP
   203   0.4040E+01   0.1404E-03   0.9328E-04   0.1316E-01   0.2830E+01   0.2453E+01   0.7523E+00
   204   0.4060E+01   0.1337E-03   0.8825E-04   0.1260E-01   0.2855E+01   0.2455E+01   0.7536E+00
   205   0.4080E+01   0.1273E-03   0.8349E-04   0.1205E-01   0.2883E+01   0.2458E+01   0.7551E+00
   206   0.4100E+01   0.1212E-03   0.7899E-04   0.1153E-01   0.2914E+01   0.2460E+01   0.7567E+00
   207   0.4120E+01   0.1154E-03   0.7472E-04   0.1103E-01   0.2948E+01   0.2463E+01   0.7584E+00
   208   0.4140E+01   0.1098E-03   0.7069E-04   0.1055E-01   0.2986E+01   0.2466E+01   0.7603E+00
   209   0.4160E+01   0.1045E-03   0.6688E-04   0.1008E-01   0.3027E+01   0.2470E+01   0.7624E+00
   210   0.4180E+01   0.9948E-04   0.6327E-04   0.9638E-02   0.3073E+01   0.2473E+01   0.7646E+00
   211   0.4200E+01   0.9467E-04   0.5986E-04   0.9210E-02   0.3122E+01   0.2477E+01   0.7670E+00
   212   0.4220E+01   0.9009E-04   0.5663E-04   0.8798E-02   0.3176E+01   0.2481E+01   0.7695E+00
   213   0.4240E+01   0.8573E-04   0.5358E-04   0.8403E-02   0.3235E+01   0.2485E+01   0.7722E+00
   214   0.4260E+01   0.8157E-04   0.5069E-04   0.8023E-02   0.3299E+01   0.2490E+01   0.7751E+00
   215   0.4280E+01   0.7760E-04   0.4795E-04   0.7659E-02   0.3368E+01   0.2495E+01   0.7781E+00
   216   0.4300E+01   0.7382E-04   0.4537E-04   0.7308E-02   0.3444E+01   0.2500E+01   0.7813E+00
   217   0.4320E+01   0.7022E-04   0.4292E-04   0.6972E-02   0.3525E+01   0.2506E+01   0.7847E+00
   218   0.4340E+01   0.6678E-04   0.4060E-04   0.6650E-02   0.3614E+01   0.2511E+01   0.7883E+00
   219   0.4360E+01   0.6351E-04   0.3841E-04   0.6340E-02   0.3709E+01   0.2517E+01   0.7921E+00
   220   0.4380E+01   0.6038E-04   0.3634E-04   0.6043E-02   0.3813E+01   0.2524E+01   0.7960E+00
   221   0.4400E+01   0.5741E-04   0.3438E-04   0.5757E-02   0.3925E+01   0.2530E+01   0.8002E+00
   222   0.4420E+01   0.5457E-04   0.3253E-04   0.5484E-02   0.4046E+01   0.2537E+01   0.8046E+00
   223   0.4440E+01   0.5187E-04   0.3077E-04   0.5221E-02   0.4178E+01   0.2544E+01   0.8092E+00
   224   0.4460E+01   0.4929E-04   0.2911E-04   0.4970E-02   0.4320E+01   0.2552E+01   0.8140E+00
   225   0.4480E+01   0.4684E-04   0.2754E-04   0.4728E-02   0.4474E+01   0.2560E+01   0.8190E+00
   226   0.4500E+01   0.4449E-04   0.2606E-04   0.4497E-02   0.4641E+01   0.2568E+01   0.8242E+00
   227   0.4520E+01   0.4226E-04   0.2465E-04   0.4275E-02   0.4822E+01   0.2576E+01   0.8296E+00
   228   0.4540E+01   0.4014E-04   0.2332E-04   0.4063E-02   0.5018E+01   0.2585E+01   0.8353E+00
   229   0.4560E+01   0.3811E-04   0.2206E-04   0.3859E-02   0.5231E+01   0.2594E+01   0.8412E+00
   230   0.4580E+01   0.3618E-04   0.2087E-04   0.3665E-02   0.5463E+01   0.2604E+01   0.8474E+00
   231   0.4600E+01   0.3434E-04   0.1975E-04   0.3478E-02   0.5716E+01   0.2614E+01   0.8538E+00
   232   0.4620E+01   0.3259E-04   0.1868E-04   0.3299E-02   0.5991E+01   0.2624E+01   0.8605E+00
   233   0.4640E+01   0.3092E-04   0.1768E-04   0.3128E-02   0.6291E+01   0.2634E+01   0.8674E+00
   234   0.4660E+01   0.2933E-04   0.1672E-04   0.2964E-02   0.6618E+01   0.2645E+01   0.8746E+00
