#   pt       r            w            wL          Qw            A            b           IP
   225   0.4480E+01   0.4516E-04   0.2749E-04   0.4934E-02   0.3379E+01   0.2505E+01   0.7844E+00
   226   0.4500E+01   0.4295E-04   0.2601E-04   0.4711E-02   0.3456E+01   0.2510E+01   0.7876E+00
   227   0.4520E+01   0.4085E-04   0.2460E-04   0.4497E-02   0.3540E+01   0.2515E+01   0.7909E+00
   228   0.4540E+01   0.3884E-04   0.2328E-04   0.4291E-02   0.3630E+01   0.2521E+01   0.7944E+00
   229   0.4560E+01   0.3693E-04   0.2202E-04   0.4094E-02   0.3727E+01   0.2527E+01   0.7981E+00
   230   0.4580E+01   0.3511E-04   0.2083E-04   0.3905E-02   0.3831E+01   0.2533E+01   0.8019E+00
   231   0.4600E+01   0.3337E-04   0.1971E-04   0.3724E-02   0.3943E+01   0.2539E+01   0.8059E+00
   232   0.4620E+01   0.3172E-04   0.1865E-04   0.3550E-02   0.4064E+01   0.2546E+01   0.8100E+00
   233   0.4640E+01   0.3014E-04   0.1764E-04   0.3383E-02   0.4195E+01   0.2552E+01   0.8144E+00
   234   0.4660E+01   0.2864E-04   0.1669E-04   0.3224E-02   0.4335E+01   0.2560E+01   0.8189E+00
