#   pt       r            w            d(ln(w))/dr
   324   0.9690E+01   0.3409E-14  -0.5652E+01
   325   0.9720E+01   0.2877E-14  -0.5670E+01
   326   0.9750E+01   0.2426E-14  -0.5687E+01
   327   0.9780E+01   0.2045E-14  -0.5705E+01
   328   0.9810E+01   0.1723E-14  -0.5722E+01
   329   0.9840E+01   0.1451E-14  -0.5740E+01
   330   0.9870E+01   0.1221E-14  -0.5757E+01
   331   0.9900E+01   0.1027E-14  -0.5775E+01
   332   0.9930E+01   0.8634E-15  -0.5792E+01
   333   0.9960E+01   0.7255E-15  -0.5810E+01
   334   0.9990E+01   0.6093E-15  -0.5827E+01
   335   0.1002E+02   0.5114E-15  -0.5845E+01
   336   0.1005E+02   0.4290E-15  -0.5862E+01
   337   0.1008E+02   0.3597E-15  -0.5880E+01
   338   0.1011E+02   0.3015E-15  -0.5897E+01
   339   0.1014E+02   0.2525E-15  -0.5915E+01
   340   0.1017E+02   0.2114E-15  -0.5932E+01
   341   0.1020E+02   0.1769E-15  -0.5950E+01
   342   0.1023E+02   0.1479E-15  -0.5967E+01
   343   0.1026E+02   0.1237E-15  -0.5985E+01
   344   0.1029E+02   0.1033E-15  -0.6002E+01
   345   0.1032E+02   0.8627E-16  -0.6020E+01
   346   0.1035E+02   0.7199E-16  -0.6037E+01
   347   0.1038E+02   0.6005E-16  -0.6055E+01
   348   0.1041E+02   0.5006E-16  -0.6072E+01
   349   0.1044E+02   0.4171E-16  -0.6090E+01
   350   0.1047E+02   0.3474E-16  -0.6107E+01
   351   0.1050E+02   0.2892E-16  -0.6125E+01
   352   0.1053E+02   0.2406E-16  -0.6142E+01
   353   0.1056E+02   0.2000E-16  -0.6160E+01
   354   0.1059E+02   0.1662E-16  -0.6177E+01
   355   0.1062E+02   0.1381E-16  -0.6195E+01
   356   0.1065E+02   0.1146E-16  -0.6212E+01
   357   0.1068E+02   0.9511E-17  -0.6230E+01
   358   0.1071E+02   0.7888E-17  -0.6247E+01
   359   0.1074E+02   0.6538E-17  -0.6265E+01
   360   0.1077E+02   0.5416E-17  -0.6282E+01
   361   0.1080E+02   0.4485E-17  -0.6300E+01
   362   0.1083E+02   0.3711E-17  -0.6317E+01
   363   0.1086E+02   0.3070E-17  -0.6335E+01
   364   0.1089E+02   0.2538E-17  -0.6352E+01
   365   0.1092E+02   0.2097E-17  -0.6370E+01
   366   0.1095E+02   0.1732E-17  -0.6387E+01
   367   0.1098E+02   0.1429E-17  -0.6405E+01
   368   0.1101E+02   0.1179E-17  -0.6422E+01
   369   0.1104E+02   0.9723E-18  -0.6440E+01
   370   0.1107E+02   0.8013E-18  -0.6457E+01
   371   0.1110E+02   0.6600E-18  -0.6475E+01
   372   0.1113E+02   0.5433E-18  -0.6492E+01
   373   0.1116E+02   0.4471E-18  -0.6510E+01
   374   0.1119E+02   0.3676E-18  -0.6527E+01
   375   0.1122E+02   0.3022E-18  -0.6545E+01
   376   0.1125E+02   0.2482E-18  -0.6562E+01
   377   0.1128E+02   0.2038E-18  -0.6580E+01
   378   0.1131E+02   0.1673E-18  -0.6597E+01
   379   0.1134E+02   0.1372E-18  -0.6615E+01
   380   0.1137E+02   0.1125E-18  -0.6632E+01
   381   0.1140E+02   0.9216E-19  -0.6650E+01
   382   0.1143E+02   0.7547E-19  -0.6667E+01
   383   0.1146E+02   0.6177E-19  -0.6685E+01
   384   0.1149E+02   0.5053E-19  -0.6702E+01
   385   0.1152E+02   0.4132E-19  -0.6720E+01
   386   0.1155E+02   0.3377E-19  -0.6737E+01
   387   0.1158E+02   0.2758E-19  -0.6755E+01
   388   0.1161E+02   0.2251E-19  -0.6772E+01
   389   0.1164E+02   0.1837E-19  -0.6790E+01
   390   0.1167E+02   0.1498E-19  -0.6807E+01
   391   0.1170E+02   0.1221E-19  -0.6825E+01
   392   0.1173E+02   0.9947E-20  -0.6842E+01
   393   0.1176E+02   0.8099E-20  -0.6860E+01
   394   0.1179E+02   0.6591E-20  -0.6877E+01
   395   0.1182E+02   0.5361E-20  -0.6895E+01
   396   0.1185E+02   0.4358E-20  -0.6912E+01
   397   0.1188E+02   0.3541E-20  -0.6930E+01
   398   0.1191E+02   0.2875E-20  -0.6947E+01
   399   0.1194E+02   0.2334E-20  -0.6965E+01
   400   0.1197E+02   0.1893E-20  -0.6982E+01
   401   0.1200E+02   0.1535E-20  -0.7000E+01
   402   0.1203E+02   0.1244E-20  -0.7017E+01
   403   0.1206E+02   0.1008E-20  -0.7035E+01
   404   0.1209E+02   0.8156E-21  -0.7052E+01
   405   0.1212E+02   0.6599E-21  -0.7070E+01
   406   0.1215E+02   0.5337E-21  -0.7087E+01
   407   0.1218E+02   0.4313E-21  -0.7105E+01
   408   0.1221E+02   0.3485E-21  -0.7122E+01
   409   0.1224E+02   0.2813E-21  -0.7140E+01
   410   0.1227E+02   0.2270E-21  -0.7157E+01
   411   0.1230E+02   0.1831E-21  -0.7175E+01
   412   0.1233E+02   0.1476E-21  -0.7192E+01
   413   0.1236E+02   0.1189E-21  -0.7210E+01
   414   0.1239E+02   0.9578E-22  -0.7227E+01
   415   0.1242E+02   0.7709E-22  -0.7245E+01
   416   0.1245E+02   0.6201E-22  -0.7262E+01
   417   0.1248E+02   0.4986E-22  -0.7280E+01
   418   0.1251E+02   0.4007E-22  -0.7297E+01
   419   0.1254E+02   0.3218E-22  -0.7315E+01
   420   0.1257E+02   0.2583E-22  -0.7332E+01
   421   0.1260E+02   0.2073E-22  -0.7350E+01
   422   0.1263E+02   0.1662E-22  -0.7367E+01
   423   0.1266E+02   0.1332E-22  -0.7385E+01
   424   0.1269E+02   0.1067E-22  -0.7402E+01
   425   0.1272E+02   0.8544E-23  -0.7420E+01
   426   0.1275E+02   0.6837E-23  -0.7437E+01
   427   0.1278E+02   0.5468E-23  -0.7455E+01
   428   0.1281E+02   0.4371E-23  -0.7472E+01
   429   0.1284E+02   0.3493E-23  -0.7490E+01
   430   0.1287E+02   0.2789E-23  -0.7507E+01
   431   0.1290E+02   0.2226E-23  -0.7525E+01
   432   0.1293E+02   0.1776E-23  -0.7542E+01
   433   0.1296E+02   0.1416E-23  -0.7560E+01
   434   0.1299E+02   0.1128E-23  -0.7577E+01
   435   0.1302E+02   0.8985E-24  -0.7595E+01
   436   0.1305E+02   0.7153E-24  -0.7612E+01
   437   0.1308E+02   0.5691E-24  -0.7630E+01
   438   0.1311E+02   0.4525E-24  -0.7647E+01
   439   0.1314E+02   0.3597E-24  -0.7665E+01
   440   0.1317E+02   0.2857E-24  -0.7682E+01
   441   0.1320E+02   0.2268E-24  -0.7700E+01
   442   0.1323E+02   0.1800E-24  -0.7717E+01
   443   0.1326E+02   0.1428E-24  -0.7735E+01
   444   0.1329E+02   0.1132E-24  -0.7752E+01
   445   0.1332E+02   0.8966E-25  -0.7770E+01
   446   0.1335E+02   0.7100E-25  -0.7787E+01
   447   0.1338E+02   0.5619E-25  -0.7805E+01
   448   0.1341E+02   0.4445E-25  -0.7822E+01
   449   0.1344E+02   0.3514E-25  -0.7840E+01
   450   0.1347E+02   0.2777E-25  -0.7857E+01
   451   0.1350E+02   0.2193E-25  -0.7875E+01
   452   0.1353E+02   0.1731E-25  -0.7892E+01
   453   0.1356E+02   0.1366E-25  -0.7910E+01
