#   pt       r            w            wL          Qw            A            b           IP
   224   0.4460E+01   0.8064E-05   0.1586E-05   0.8369E-03   0.8827E+00   0.2602E+01   0.8461E+00
   225   0.4480E+01   0.7655E-05   0.1495E-05   0.7975E-03   0.9299E+00   0.2613E+01   0.8537E+00
   226   0.4500E+01   0.7264E-05   0.1410E-05   0.7597E-03   0.9799E+00   0.2625E+01   0.8613E+00
   227   0.4520E+01   0.6892E-05   0.1330E-05   0.7235E-03   0.1033E+01   0.2637E+01   0.8690E+00
   228   0.4540E+01   0.6537E-05   0.1254E-05   0.6889E-03   0.1089E+01   0.2648E+01   0.8767E+00
   229   0.4560E+01   0.6199E-05   0.1182E-05   0.6558E-03   0.1148E+01   0.2660E+01   0.8844E+00
   230   0.4580E+01   0.5877E-05   0.1115E-05   0.6241E-03   0.1211E+01   0.2672E+01   0.8922E+00
   231   0.4600E+01   0.5571E-05   0.1051E-05   0.5938E-03   0.1278E+01   0.2683E+01   0.9000E+00
   232   0.4620E+01   0.5279E-05   0.9914E-06   0.5648E-03   0.1348E+01   0.2695E+01   0.9078E+00
   233   0.4640E+01   0.5001E-05   0.9349E-06   0.5371E-03   0.1423E+01   0.2707E+01   0.9157E+00
   234   0.4660E+01   0.4737E-05   0.8816E-06   0.5107E-03   0.1503E+01   0.2718E+01   0.9236E+00
