#   pt       r            w            wL          Qw            A            b           IP
   202   0.4020E+01   0.9073E-04   0.1180E-03   0.5806E-02   0.7709E+02   0.3396E+01   0.1442E+01
   203   0.4040E+01   0.8476E-04   0.1118E-03   0.5448E-02   0.8231E+02   0.3412E+01   0.1456E+01
   204   0.4060E+01   0.7915E-04   0.1059E-03   0.5111E-02   0.8793E+02   0.3429E+01   0.1470E+01
   205   0.4080E+01   0.7389E-04   0.1002E-03   0.4792E-02   0.9398E+02   0.3445E+01   0.1484E+01
   206   0.4100E+01   0.6896E-04   0.9493E-04   0.4492E-02   0.1005E+03   0.3461E+01   0.1498E+01
   207   0.4120E+01   0.6434E-04   0.8990E-04   0.4209E-02   0.1075E+03   0.3478E+01   0.1512E+01
   208   0.4140E+01   0.6001E-04   0.8513E-04   0.3943E-02   0.1151E+03   0.3494E+01   0.1526E+01
   209   0.4160E+01   0.5595E-04   0.8062E-04   0.3692E-02   0.1232E+03   0.3511E+01   0.1541E+01
   210   0.4180E+01   0.5214E-04   0.7634E-04   0.3456E-02   0.1320E+03   0.3527E+01   0.1555E+01
   211   0.4200E+01   0.4858E-04   0.7230E-04   0.3234E-02   0.1414E+03   0.3544E+01   0.1570E+01
   212   0.4220E+01   0.4525E-04   0.6846E-04   0.3025E-02   0.1516E+03   0.3560E+01   0.1585E+01
   213   0.4240E+01   0.4214E-04   0.6483E-04   0.2829E-02   0.1626E+03   0.3577E+01   0.1599E+01
   214   0.4260E+01   0.3922E-04   0.6139E-04   0.2644E-02   0.1745E+03   0.3593E+01   0.1614E+01
   215   0.4280E+01   0.3649E-04   0.5814E-04   0.2471E-02   0.1873E+03   0.3610E+01   0.1629E+01
   216   0.4300E+01   0.3395E-04   0.5506E-04   0.2308E-02   0.2012E+03   0.3627E+01   0.1644E+01
   217   0.4320E+01   0.3157E-04   0.5214E-04   0.2155E-02   0.2161E+03   0.3643E+01   0.1659E+01
   218   0.4340E+01   0.2934E-04   0.4937E-04   0.2011E-02   0.2323E+03   0.3660E+01   0.1674E+01
   219   0.4360E+01   0.2727E-04   0.4676E-04   0.1877E-02   0.2497E+03   0.3677E+01   0.1690E+01
   220   0.4380E+01   0.2533E-04   0.4428E-04   0.1751E-02   0.2686E+03   0.3693E+01   0.1705E+01
   221   0.4400E+01   0.2352E-04   0.4193E-04   0.1632E-02   0.2891E+03   0.3710E+01   0.1721E+01
   222   0.4420E+01   0.2184E-04   0.3971E-04   0.1522E-02   0.3112E+03   0.3727E+01   0.1736E+01
   223   0.4440E+01   0.2026E-04   0.3760E-04   0.1418E-02   0.3351E+03   0.3743E+01   0.1752E+01
   224   0.4460E+01   0.1880E-04   0.3561E-04   0.1321E-02   0.3610E+03   0.3760E+01   0.1767E+01
   225   0.4480E+01   0.1743E-04   0.3372E-04   0.1230E-02   0.3890E+03   0.3777E+01   0.1783E+01
